Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
429.mcf-453.povray-459.GemsFDTD-470.lbm,RaRoChBaCo,28,0.9996100150263737,162073.318939,109278501.0,17593916.0,64.65,59.18,63.89,47624406.0,17711506.0,27.11,58.79,35.7,3.115490857661524,1.0004723819610948,0.9896103576335047,1.0014857624027385,126872417.0,65335912.0,1.9418481064441253,1.0220533009020913,47.207116637845175,2.0579816198113092,0.9955480600181216,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,RaRoChBaCo,28,1.0103312946048861,157994.130025,64880857.0,29044295.0,42.25,57.04,46.82,69994240.0,29955983.0,42.85,56.57,46.96,0.9967547516290501,1.0004619894612279,0.9988745504426993,1.0026997692057142,93925152.0,99950223.0,1.0641475778500737,38.730704582464604,76.06109592117662,0.998608370545139,1.0007871598242069,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,RaRoChBaCo,28,0.9994399556470194,159570.641019,50715831.0,12636701.0,78.25,62.84,75.17,22260001.0,14433512.0,56.92,63.44,59.49,3.309752617423716,1.012444685878752,0.9799940058728149,1.007900957657563,63352532.0,36693513.0,1.7265322074776541,1.021659412127397,30.727688906760438,2.1610986516512343,0.993947481765189,2,1,0
429.mcf-434.zeusmp-445.gobmk-453.povray,BaRoRaCoCh,48,1.0385250139731457,183123.167828,51284895.0,13418581.0,70.45,61.98,68.69,20693041.0,13413274.0,36.89,62.09,46.8,3.5984640199904545,3.7751656092446435,3.7917161968043516,3.7751864577348244,64703476.0,34106315.0,1.8971113120839938,1.119232171656517,1.003449929848373,3.686814814617549,3.7834513272695878,2,1,0
429.mcf-433.milc-434.zeusmp-445.gobmk,BaRoRaCoCh,48,1.0944753741597253,182852.733044,54397059.0,25135293.0,24.51,47.92,31.92,52862934.0,25833057.0,25.86,47.99,33.13,3.439114255532419,3.085519317470553,3.4279866147099285,3.1029306002115535,79532352.0,78695991.0,1.0106277459546829,1.000895221208403,1.0010832628126818,3.262316786501486,3.265458607460741,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,BaRoRaCoCh,48,1.0168096460211193,174608.898333,109000964.0,17548784.0,59.77,57.63,59.47,46839586.0,17494065.0,15.33,58.04,26.95,3.2494247176719226,2.4116234414168205,2.2760300090471905,2.4110427879770544,126549748.0,64333651.0,1.967084815379124,1.0456465428732733,1.0009585615416254,2.8305240795443716,2.3435363985121223,2,1,0
434.zeusmp-445.gobmk-459.GemsFDTD-470.lbm,BaRoRaCoCh,48,1.0128109470285709,167447.382784,54929352.0,34908886.0,34.42,64.58,46.14,54833349.0,34839362.0,34.38,64.86,46.22,2.104776921044738,2.0660991679686727,2.1053400178273587,2.0662626737100664,89838238.0,89672711.0,1.0018459015920684,1.0006509262569945,1.0005484274190561,2.0854380445067053,2.0858013457687123,2,1,0
433.milc-434.zeusmp-445.gobmk-471.omnetpp,BaRoRaCoCh,48,1.0008377295861632,171884.28304,39809126.0,13761999.0,72.54,65.76,70.8,17102908.0,13831499.0,51.17,66.36,57.96,3.3523404135429007,3.5072935625184454,3.5579031361539326,3.5095881952371153,53571125.0,30934407.0,1.7317650537151075,1.0408069228060257,1.0016443003726465,3.429816988030673,3.533745665695524,2,1,0
429.mcf-434.zeusmp-437.leslie3d-470.lbm,BaRoRaCoCh,48,1.0716711505202439,179815.193474,68044186.0,29948550.0,14.46,50.61,25.51,67992570.0,29893774.0,14.4,50.79,25.52,2.9314551338691883,2.30661315451606,2.932860736592582,2.307766441446531,97992736.0,97886344.0,1.0010868931829755,1.0004504708279687,1.0003737923329612,2.619034144192624,2.620313589019556,2,1,0
429.mcf-453.povray-459.GemsFDTD-470.lbm,CoRoRaBaCh,72,1.0015860594143813,165378.001502,109110355.0,17477576.0,50.8,0.24,43.82,46950314.0,17423391.0,0.01,0.25,0.07,2.2041664682089417,0.002188573038389756,0.00293376473635378,0.0019750187634243973,126587931.0,64373705.0,1.9664540203177678,1.000358304742366,1.01717705525017,1.1031775206236658,0.0024543917498890885,2,1,0
