Workload,Addr Mapping (str),Addr Mapping (idx),Sim Ticks,L2 Miss Latency,Read Reqs 0,Write Reqs 0,Read Row Hit Rate 0,Write Row Hit Rate 0,Row Hit Rate 0,Read Reqs 1,Write Reqs 1,Read Row Hit Rate 1,Write Row Hit Rate 1,Row Hit Rate 1,Bank Rd Burst CV 0,Bank Wr Burst CV 0,Bank Rd Burst CV 1,Bank Wr Burst CV 1,Requests 0,Requests 1,Request Ratio,Rank Act Ratio 0,Rank Act Ratio 1,Bank Burst CV 0,Bank Burst CV 1,Ctrl Num,Device Num,Switch Num
433.milc,RaRoBaCoCh,24,1.0013837611188547,0.9941657756318033,53934316.0,14338216.0,79.82,54.01,74.38,36241660.0,14819402.0,72.86,55.83,67.9,0.9993446525994809,1.0032252885340633,0.9989174307481182,1.0018036597057014,68272532.0,51061062.0,1.3370762245407273,294.5583532615003,424.72445815030034,1.0012849705667721,1.0003605452269098,2,1,0
437.leslie3d,RaRoBaCoCh,24,1.0085224397318484,1.0264667688907618,39016986.0,21648409.0,73.99,82.53,77.04,39039100.0,21663567.0,74.01,82.55,77.06,1.0094229834122312,1.017778551915577,1.0091086981130832,1.0178016959904654,60665395.0,60702667.0,1.00061438650486,264.0821744298706,277.22275995845087,1.0136007676639043,1.0134551970517744,2,1,0
445.gobmk,RaRoBaCoCh,24,0.9857874091339772,0.9349113591115298,20295428.0,20911521.0,89.84,88.34,89.08,20285881.0,20905763.0,89.9,88.39,89.13,0.9827777898170234,0.999751268848752,0.9826020503256756,0.999784254663038,41206949.0,41191644.0,1.0003715559398405,48.77303319283505,48.328936302112915,0.9912645293328877,0.9911931524943568,2,1,0
445.gobmk,BaRoRaCoCh,48,0.9869214421927059,0.9405728143191262,20297879.0,20911447.0,89.53,88.23,88.87,20288313.0,20905696.0,89.59,88.27,88.92,3.8370125299773354,3.872221019564298,3.8366387764343517,3.872284193432113,41209326.0,41194009.0,1.000371825912841,1.0027619807752282,1.0031123557659305,3.8546167747708164,3.8544614849332324,2,1,0
433.milc,BaRoRaCoCh,48,1.0282287299212898,1.0412677223291646,53935245.0,14338224.0,69.32,55.89,66.49,36239532.0,14819387.0,63.7,57.62,61.93,3.869504315631927,3.8721028718820425,3.8686986886924792,3.872451657182852,68273469.0,51058919.0,1.3371506944751415,1.0027754586926374,1.0021114721270779,3.8708035937569845,3.8705751729376656,2,1,0
459.GemsFDTD,BaRoRaCoCh,48,1.0604845802032707,1.104137989623048,43091969.0,20576402.0,20.9,76.43,38.85,43087736.0,20573432.0,20.89,76.66,38.91,1.885781279892827,1.7615186489200636,1.8856805239733279,1.7615676445614992,63668371.0,63661168.0,1.0001131458976686,1.0003895955111033,1.0005451148732365,1.8236499644064454,1.8236240842674136,2,1,0
429.mcf,BaRoRaCoCh,48,1.0471422299312776,1.0705518584212368,60491406.0,8711894.0,13.1,62.35,19.32,60358792.0,8687307.0,12.98,62.43,19.22,3.8681990798608097,3.869634326380012,3.8680224784314277,3.8700736569326106,69203300.0,69046099.0,1.0022767542594984,1.0032980661120248,1.0000832741118857,3.868916703120411,3.8690480676820194,2,1,0
470.lbm,BaRoRaCoCh,48,1.0393239743660716,1.1123798467364603,135451608.0,102065723.0,38.46,86.48,59.1,135392569.0,102007918.0,38.39,86.59,59.1,2.6920170449863856,2.7032171761458197,2.691950453056685,2.7032952473674556,237517331.0,237400487.0,1.0004921809617013,1.0001876828667688,1.000054774001315,2.6976171105661026,2.6976228502120705,2,1,0
437.leslie3d,BaRoRaCoCh,48,1.060532935191872,1.1476001782454135,39013013.0,21648354.0,40.56,83.47,55.91,39034995.0,21663458.0,40.55,83.49,55.91,3.8664104688384366,3.8722058181392747,3.8661371052300146,3.8723688073575837,60661367.0,60698453.0,1.0006113610990666,1.0097927913149458,1.0088203201471941,3.8693081434888557,3.869252956293799,2,1,0
459.GemsFDTD,CoRoRaBaCh,72,1.112866893896377,1.1533788369816378,43092064.0,20576402.0,0.0,0.06,0.02,43087828.0,20573438.0,0.0,0.06,0.02,0.0011299454139626149,0.0006627408733379387,0.0010594051178862318,0.0005925225826016117,63668466.0,63661266.0,1.0001130985990758,1.0706730929650212,1.0576477198162206,0.0008963431436502768,0.0008259638502439218,2,1,0
437.leslie3d,CoRoRaBaCh,72,1.0741853436515603,1.1729956257311738,39014043.0,21647982.0,0.01,0.0,0.01,39035890.0,21663052.0,0.01,0.0,0.01,0.005950577337722669,0.004012443003562451,0.005989053662497982,0.0044282497779872506,60662025.0,60698942.0,1.0006085685402029,1.001515425798963,1.0024616803699802,0.00498151017064256,0.005208651720242616,2,1,0
445.gobmk,CoRoRaBaCh,72,1.0005474324674208,1.0027081665285555,20296085.0,20911528.0,0.0,0.0,0.0,20286310.0,20905770.0,0.0,0.0,0.0,0.0016008712139893202,0.0006542104225364752,0.0013520743001893833,0.0006163828153819784,41207613.0,41192080.0,1.0003770870516857,1.01354379449974,1.0159164727957881,0.0011275408182628978,0.000984228557785681,2,1,0
429.mcf,CoRoRaBaCh,72,1.0103912620961575,1.0179404561901813,60492089.0,8711771.0,0.0,0.07,0.01,60359516.0,8687212.0,0.0,0.07,0.01,0.002698266375779735,0.007022013218977757,0.004268290520992458,0.007847371944625805,69203860.0,69046728.0,1.0022757341955437,1.0063142228949074,1.0044044384694333,0.004860139797378746,0.006057831232809131,2,1,0
470.lbm,CoRoRaBaCh,72,1.0,1.0,135423179.0,102043467.0,66.65,73.84,69.74,135418893.0,102030185.0,66.67,73.86,69.76,0.00071080970173695,0.0006584925336832519,0.0007692871085975818,0.00050452663116614,237466646.0,237449078.0,1.0000739863896209,1.0027863867361935,1.0027483694905681,0.0006846511177101009,0.0006369068698818609,2,1,0
433.milc,CoRoRaBaCh,72,1.092119874089781,1.1575780617414857,53934599.0,14338265.0,0.0,0.0,0.0,36240993.0,14819460.0,0.0,0.0,0.0,0.9598205908222747,1.1232203622250074,0.9460050246603844,1.2058013113449169,68272864.0,51060453.0,1.3370986739972714,1.0005704817465289,1.0006603538804903,1.041520476523641,1.0759031680026507,2,1,0
